Source,Target,Type,Weight
0,0,Directed,0.8
0,9,Directed,0.2
0,10,Directed,0.6
1,0,Directed,0.1
1,1,Directed,0.5
2,9,Directed,0.4
2,3,Directed,0.5
3,6,Directed,0.6
3,10,Directed,0.2
3,2,Directed,0.3
3,11,Directed,0.1
4,9,Directed,0.6
4,4,Directed,0.4
5,1,Directed,0.3
5,7,Directed,0.3
6,7,Directed,0.5
6,2,Directed,0.9
6,10,Directed,0.6
6,6,Directed,0.2
6,4,Directed,0.5
7,7,Directed,0.8
7,9,Directed,0.5
7,5,Directed,0.2
8,5,Directed,0.6
8,0,Directed,0.1
9,1,Directed,0.6
9,9,Directed,0.3
10,10,Directed,0.5
10,8,Directed,0.2
10,1,Directed,0.9
10,3,Directed,0.2
10,5,Directed,0.9
11,11,Directed,0.1
11,4,Directed,0.3
11,2,Directed,0.6
